RNAcentral:URS00002F4D78_9606,URS00002F4D78_9606
UniProtKB:Q8IUX1,TMEM126B
UniProtKB:Q92499,DDX1
UniProtKB:Q13794,PMAIP1
UniProtKB:Q9HAP2,MLXIP
UniProtKB:P36404,ARL2
UniProtKB:Q9HB07,C12orf10
UniProtKB:O14966,RAB29
UniProtKB:P35558,PCK1
UniProtKB:P35557,GCK
UniProtKB:O14949,UQCRQ
UniProtKB:Q5T160,RARS2
UniProtKB:Q12887,COX10
UniProtKB:O14925,TIMM23
UniProtKB:P15056,BRAF
UniProtKB:Q9UPW5,AGTPBP1
UniProtKB:Q6P087,RPUSD3
UniProtKB:Q12849,GRSF1
UniProtKB:Q9BYN8,MRPS26
UniProtKB:P50440,GATM
UniProtKB:U3KQK5,U3KQK5
UniProtKB:P50416,CPT1A
UniProtKB:Q9BZ23,PANK2
UniProtKB:P57105,SYNJ2BP
UniProtKB:P57103,SLC8A3
UniProtKB:Q969Z3,2-Mar
UniProtKB:Q969Z0,TBRG4
UniProtKB:Q9UQF2,MAPK8IP1
UniProtKB:Q969Y2,GTPBP3
UniProtKB:P13804,ETFA
UniProtKB:Q969S9,GFM2
UniProtKB:Q9NTK1,DEPP1
UniProtKB:Q969P6,TOP1MT
UniProtKB:P60602,ROMO1
UniProtKB:O14879,IFIT3
UniProtKB:O14862,AIM2
UniProtKB:Q969M1,TOMM40L
UniProtKB:Q969I3,GLYATL1
UniProtKB:Q12778,FOXO1
UniProtKB:A0A087WUM0,SYNJ2BP-COX16
UniProtKB:Q12772,SREBF2
UniProtKB:Q969H0,FBXW7
UniProtKB:Q969F0,FATE1
UniProtKB:P50336,PPOX
UniProtKB:Q6NVY1,HIBCH
UniProtKB:Q5TH74,STPG1
UniProtKB:G3V3G9,G3V3G9
UniProtKB:Q7Z3D6,DGLUCY
UniProtKB:P21980,TGM2
UniProtKB:Q13875,MOBP
UniProtKB:Q9Y2Q3,GSTK1
UniProtKB:P36776,LONP1
UniProtKB:P21953,BCKDHB
UniProtKB:Q6YP21,KYAT3
UniProtKB:O75362,ZNF217
UniProtKB:P21912,SDHB
UniProtKB:Q8N357,SLC35F6
UniProtKB:Q96BY2,MOAP1
UniProtKB:Q7Z2W9,MRPL21
UniProtKB:P08133,ANXA6
UniProtKB:Q05932,FPGS
UniProtKB:Q8IW03,SIAH3
UniProtKB:Q9Y399,MRPS2
UniProtKB:Q8IVP5,FUNDC1
UniProtKB:Q7L8L6,FASTKD5
UniProtKB:G3V325,ATP5J2-PTCD1
UniProtKB:Q8N2F6,ARMC10
UniProtKB:Q86WA6,BPHL
UniProtKB:Q5H9E4,SLC25A53
UniProtKB:Q8N2A8,PLD6
UniProtKB:P53778,MAPK12
UniProtKB:Q9HC96,CAPN10
UniProtKB:Q00325,SLC25A3
UniProtKB:P48201,ATP5MC3
UniProtKB:Q70CQ3,USP30
UniProtKB:Q96B49,TOMM6
UniProtKB:Q07021,C1QBP
UniProtKB:Q8TCG5,CPT1C
UniProtKB:P53701,HCCS
UniProtKB:Q7L7V1,DHX32
UniProtKB:Q96CB9,NSUN4
UniProtKB:P23443,RPS6KB1
UniProtKB:Q00796,SORD
UniProtKB:P23434,GCSH
UniProtKB:Q7Z6M4,MTERF4
UniProtKB:Q13505,MTX1
UniProtKB:Q9HD33,MRPL47
UniProtKB:P13196,ALAS1
UniProtKB:Q8N5Z0,AADAT
UniProtKB:Q494U1,PLEKHN1
UniProtKB:Q9P032,NDUFAF4
UniProtKB:Q8N5S1,SLC25A41
UniProtKB:Q9BY49,PECR
UniProtKB:P43897,TSFM
UniProtKB:P80404,ABAT
UniProtKB:Q8N5N7,MRPL50
UniProtKB:Q7KZN9,COX15
UniProtKB:Q8N5M1,ATPAF2
UniProtKB:P23396,RPS3
UniProtKB:P23378,GLDC
UniProtKB:P23368,ME2
UniProtKB:P55211,CASP9
UniProtKB:Q7KZI7,MARK2
UniProtKB:Q8N5G0,SMIM20
UniProtKB:Q9UBK2,PPARGC1A
UniProtKB:Q7Z5L4,SPATA19
UniProtKB:Q7Z5J4,RAI1
UniProtKB:P0CG48,UBC
UniProtKB:Q6L8Q7,PDE12
UniProtKB:O94811,TPPP
UniProtKB:A6NDV4,TMEM8B
UniProtKB:P13073,COX4I1
UniProtKB:P13051,UNG
UniProtKB:Q8N573,OXR1
UniProtKB:Q02221,COX6A2
UniProtKB:Q02218,OGDH
UniProtKB:Q8N9M5,TMEM102
UniProtKB:P23786,CPT2
UniProtKB:O14561,NDUFAB1
UniProtKB:Q9NX14,NDUFB11
UniProtKB:Q9NX18,SDHAF2
UniProtKB:P23763,VAMP1
UniProtKB:O14548,COX7A2L
UniProtKB:Q9NWS8,RMND1
UniProtKB:O14521,SDHD
UniProtKB:Q9NWT8,AURKAIP1
UniProtKB:Q8N9F0,NAT8L
UniProtKB:Q9NX63,CHCHD3
UniProtKB:Q9GZT6,CCDC90B
UniProtKB:Q9BUE6,ISCA1
UniProtKB:Q9UKN8,GTF3C4
UniProtKB:Q9BUK0,CHCHD7
UniProtKB:Q53T59,HS1BP3
UniProtKB:Q9BV35,SLC25A23
UniProtKB:Q9P2R7,SUCLA2
UniProtKB:Q8N945,PRELID2
UniProtKB:Q8N8R3,SLC25A29
UniProtKB:Q02156,PRKCE
UniProtKB:Q8N8Q8,COX18
UniProtKB:P56693,SOX10
UniProtKB:Q02127,DHODH
UniProtKB:Q9P2J9,PDP2
UniProtKB:Q13342,SP140
UniProtKB:P33897,ABCD1
UniProtKB:Q96T52,IMMP2L
UniProtKB:Q53S58,TMEM177
UniProtKB:Q9BVL4,SELENOO
UniProtKB:Q9P291,ARMCX1
UniProtKB:O95140,MFN2
UniProtKB:Q14397,GCKR
UniProtKB:P05181,CYP2E1
UniProtKB:Q9NZI6,TFCP2L1
UniProtKB:P05166,PCCB
UniProtKB:P05165,PCCA
UniProtKB:Q9NPF8,ADAP2
UniProtKB:F5H5P2,F5H5P2
UniProtKB:Q02978,SLC25A11
UniProtKB:Q7LG56,RRM2B
UniProtKB:Q9NZJ7,MTCH1
UniProtKB:P05141,SLC25A5
UniProtKB:Q9NPH5,NOX4
UniProtKB:P67775,PPP2CA
UniProtKB:Q9NPJ3,ACOT13
UniProtKB:P05108,CYP11A1
UniProtKB:P07919,UQCRH
UniProtKB:Q14318,FKBP8
UniProtKB:Q9NPL8,TIMMDC1
UniProtKB:P82675,MRPS5
UniProtKB:P82673,MRPS35
UniProtKB:P82664,MRPS10
UniProtKB:P82663,MRPS25
UniProtKB:P82650,MRPS22
UniProtKB:P15336,ATF2
UniProtKB:Q8NI60,COQ8A
UniProtKB:P03928,MT-ATP8
UniProtKB:P03923,MT-ND6
UniProtKB:P03915,MT-ND5
UniProtKB:P03905,MT-ND4
UniProtKB:Q5U5X0,LYRM7
UniProtKB:P03901,MT-ND4L
UniProtKB:P50747,HLCS
UniProtKB:P05091,ALDH2
UniProtKB:P05089,ARG1
UniProtKB:Q14296,FASTK
UniProtKB:Q9C002,NMES1
UniProtKB:Q6P2H3,CEP85
UniProtKB:Q6P2C0,WDR93
UniProtKB:Q9UNQ2,DIMT1
UniProtKB:P19419,ELK1
UniProtKB:P03897,MT-ND3
UniProtKB:P03891,MT-ND2
UniProtKB:P03886,MT-ND1
UniProtKB:Q4U2R6,MRPL51
UniProtKB:Q96LL9,DNAJC30
UniProtKB:Q9NR71,ASAH2
UniProtKB:Q9C0C7,AMBRA1
UniProtKB:P62072,TIMM10
UniProtKB:A8MTT3,CEBPZOS
UniProtKB:P45984,MAPK9
UniProtKB:P45983,MAPK8
UniProtKB:Q9H5Z6,FAM124B
UniProtKB:P30153,PPP2R1A
UniProtKB:P45954,ACADSB
UniProtKB:Q6ZN28,MACC1
UniProtKB:Q562E7,WDR81
UniProtKB:Q96LW7,CARD19
UniProtKB:R4GNA1,MINOS1-NBL1
UniProtKB:Q6P1L8,MRPL14
UniProtKB:Q14197,MRPL58
UniProtKB:Q14188,TFDP2
UniProtKB:Q14186,TFDP1
UniProtKB:Q02790,FKBP4
UniProtKB:Q5U4N7,GDF5OS
UniProtKB:Q14154,DELE1
UniProtKB:Q02750,MAP2K1
UniProtKB:O15229,KMO
UniProtKB:A0A087WWV3,A0A087WWV3
UniProtKB:Q9H6K4,OPA3
UniProtKB:P40337,VHL
UniProtKB:P35670,ATP7B
UniProtKB:Q09428,ABCC8
UniProtKB:Q5EBM0,CMPK2
UniProtKB:Q86SX6,GLRX5
UniProtKB:P40305,IFI27
UniProtKB:Q9NS37,CREBZF
UniProtKB:Q12981,BNIP1
UniProtKB:Q9H6R4,NOL6
UniProtKB:P35613,BSG
UniProtKB:Q9NS69,TOMM22
UniProtKB:P50583,NUDT2
UniProtKB:K7EMT4,K7EMT4
UniProtKB:Q86X76,NIT1
UniProtKB:Q8TCS8,PNPT1
UniProtKB:Q05823,RNASEL
UniProtKB:Q9Y3I1,FBXO7
UniProtKB:Q9HCL2,GPAM
UniProtKB:P11586,MTHFD1
UniProtKB:P16435,POR
UniProtKB:Q5S007,LRRK2
UniProtKB:Q8N1F1,LRRC75A-AS1
UniProtKB:Q9HD34,LYRM4
UniProtKB:P06401,PGR
UniProtKB:P21796,VDAC1
UniProtKB:Q5TEU4,NDUFAF5
UniProtKB:O75439,PMPCB
UniProtKB:Q6J4K2,SLC8B1
UniProtKB:P28482,MAPK1
UniProtKB:Q8N0X4,CLYBL
UniProtKB:P53007,SLC25A1
UniProtKB:P33121,ACSL1
UniProtKB:Q6YN16,HSDL2
UniProtKB:Q8N0V3,RBFA
UniProtKB:Q8N163,CCAR2
UniProtKB:Q8N159,NAGS
UniProtKB:Q8IXI1,RHOT2
UniProtKB:Q8N111,CEND1
UniProtKB:Q99643,SDHC
UniProtKB:P11498,PC
UniProtKB:Q8IXQ6,PARP9
UniProtKB:Q92754,TFAP2C
UniProtKB:P31947,SFN
UniProtKB:P31946,YWHAB
UniProtKB:P31944,CASP14
UniProtKB:Q99497,PARK7
UniProtKB:P31937,HIBADH
UniProtKB:P31930,UQCRC1
UniProtKB:P43304,GPD2
UniProtKB:Q8N4T8,CBR4
UniProtKB:Q7Z4Y8,ATP5MGL
UniProtKB:Q8N4Q1,CHCHD4
UniProtKB:Q9BYV7,BCO2
UniProtKB:Q7Z4T9,MAATS1
UniProtKB:Q2TB90,HKDC1
UniProtKB:Q8N4H5,TOMM5
UniProtKB:Q8N4E7,FTMT
UniProtKB:Q7Z4L0,COX8C
UniProtKB:A0A1W2PPQ1,A0A1W2PPQ1
UniProtKB:C9JRZ8,AKR1B15
UniProtKB:Q96A35,MRPL24
UniProtKB:O94913,PCF11
UniProtKB:Q96A46,SLC25A28
UniProtKB:O94925,GLS
UniProtKB:Q9BZJ4,SLC25A39
UniProtKB:O00746,NME4
UniProtKB:Q8N3Z3,GTPBP8
UniProtKB:Q8N490,PNKD
UniProtKB:Q86YB7,ECHDC2
UniProtKB:Q8N465,D2HGDH
UniProtKB:Q8N442,GUF1
UniProtKB:P08238,HSP90AB1
UniProtKB:Q8N413,SLC25A45
UniProtKB:Q10713,PMPCA
UniProtKB:P55061,TMBIM6
UniProtKB:Q9NUB1,ACSS1
UniProtKB:Q9H9B4,SFXN1
UniProtKB:P30405,PPIF
UniProtKB:Q9HA77,CARS2
UniProtKB:Q9BRQ8,AIFM2
UniProtKB:Q5FVE4,ACSBG2
UniProtKB:Q9BRT2,UQCC2
UniProtKB:Q9HA92,RSAD1
UniProtKB:Q09161,NCBP1
UniProtKB:O15528,CYP27B1
UniProtKB:Q9BS92,NIPSNAP3B
UniProtKB:P55851,UCP2
UniProtKB:O14746,TERT
UniProtKB:P55809,OXCT1
UniProtKB:P04083,ANXA1
UniProtKB:Q9NUT2,ABCB8
UniProtKB:P23919,DTYMK
UniProtKB:Q07973,CYP24A1
UniProtKB:P50213,IDH3A
UniProtKB:Q9BSK2,SLC25A33
UniProtKB:J3KRW8,J3KRW8
UniProtKB:A6NK58,LIPT2
UniProtKB:P13674,P4HA1
UniProtKB:A6NK06,ACOD1
UniProtKB:P55789,GFER
UniProtKB:Q02338,BDH1
UniProtKB:Q02318,CYP27A1
UniProtKB:O14684,PTGES
UniProtKB:O00571,DDX3X
UniProtKB:Q38SD2,LRRK1
UniProtKB:Q4G176,ACSF3
UniProtKB:Q96TA2,YME1L1
UniProtKB:Q9BW91,NUDT9
UniProtKB:Q4G0N4,NADK2
UniProtKB:P23560,BDNF
UniProtKB:Q7Z7K0,CMC1
UniProtKB:Q7Z7H8,MRPL10
UniProtKB:Q7Z7F7,MRPL55
UniProtKB:A6NFY7,SDHAF1
UniProtKB:Q9HCC0,MCCC2
UniProtKB:Q9P0U1,TOMM7
